taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
5400;12/16/2016 8:45:00 AM;300;0;525;20;bankkártya
2538;12/31/2016 5:15:00 PM;540;0;675;0;készpénz
5856;12/29/2016 6:45:00 PM;300;0;525;0;készpénz
3449;12/2/2016 5:15:00 PM;60;0;325;0;készpénz
1098;12/30/2016 12:45:00 PM;660;0;145;20;bankkártya
3514;12/9/2016 9:15:00 AM;600;0;1075;0;készpénz
2643;12/1/2016 11:45:00 PM;180;0;425;0;készpénz
4359;12/13/2016 7:00:00 PM;780;0;75;0;készpénz
5114;12/13/2016 6:15:00 PM;5100;0;4875;60;bankkártya
3465;12/30/2016 12:45:00 PM;240;0;50;0;készpénz
8397;12/15/2016 2:00:00 PM;335;0;50;0;készpénz
2643;12/7/2016 5:30:00 PM;3540;0;4275;60;bankkártya
4849;12/7/2016 12:00:00 PM;60;0;325;0;készpénz
2819;12/26/2016 10:15:00 PM;240;0;55;0;készpénz
1587;12/17/2016 9:00:00 PM;2220;0;445;50;bankkártya
4638;12/21/2016 11:00:00 PM;600;0;875;30;bankkártya
5659;12/4/2016 2:00:00 AM;120;0;475;0;készpénz
4531;12/1/2016 9:15:00 PM;540;0;725;0;készpénz
1262;12/15/2016 10:00:00 AM;240;0;50;0;készpénz
53;12/18/2016 1:15:00 AM;300;0;55;0;készpénz
6923;12/20/2016 5:00:00 PM;240;0;425;0;készpénz
1901;12/9/2016 3:15:00 PM;840;0;95;0;készpénz
1098;12/4/2016 3:45:00 PM;600;0;95;0;készpénz
4870;12/13/2016 8:15:00 PM;120;0;375;0;készpénz
7810;12/17/2016 1:15:00 PM;60;0;1;0;készpénz
4770;12/13/2016 5:45:00 PM;600;0;1125;0;készpénz
5475;12/20/2016 6:00:00 PM;300;0;55;0;készpénz
2121;12/22/2016 2:15:00 PM;420;0;625;20;bankkártya
2066;12/15/2016 8:30:00 PM;240;0;60;10;bankkártya
6749;12/14/2016 4:15:00 PM;360;0;60;0;készpénz
5114;12/20/2016 7:30:00 PM;2040;0;3225;805;bankkártya
1347;12/15/2016 5:00:00 AM;60;0;325;0;készpénz
2901;12/6/2016 8:45:00 PM;1200;0;275;825;bankkártya
4107;12/13/2016 4:00:00 PM;180;0;50;0;készpénz
8232;12/23/2016 12:30:00 AM;540;0;1225;0;készpénz
5475;12/7/2016 10:45:00 AM;240;0;525;0;készpénz
6902;12/20/2016 2:45:00 AM;300;0;625;20;bankkártya
50;12/9/2016 4:15:00 PM;300;0;55;30;bankkártya
5029;12/8/2016 7:00:00 PM;660;0;70;0;készpénz
5406;12/23/2016 9:30:00 AM;360;0;60;0;készpénz
4119;12/31/2016 7:45:00 PM;1440;0;180;0;készpénz
8232;12/22/2016 1:00:00 PM;840;0;1425;0;készpénz
3684;12/7/2016 10:45:00 PM;180;0;50;0;készpénz
4044;12/2/2016 1:45:00 PM;960;0;110;0;készpénz
8648;12/16/2016 2:45:00 PM;2160;0;2775;40;bankkártya
1750;12/8/2016 1:15:00 PM;60;0;325;0;készpénz
6744;12/16/2016 1:00:00 PM;420;0;625;20;bankkártya
5636;12/16/2016 12:30:00 AM;660;0;80;10;bankkártya
7643;12/30/2016 5:00:00 PM;240;0;50;0;készpénz
4770;12/3/2016 7:15:00 PM;900;0;1425;0;készpénz
8648;12/13/2016 11:15:00 AM;1020;0;110;10;bankkártya
548;12/16/2016 9:30:00 AM;360;0;60;0;készpénz
4611;12/2/2016 7:00:00 PM;600;0;75;0;készpénz
8546;12/13/2016 6:00:00 PM;540;0;625;0;készpénz
760;12/9/2016 2:30:00 PM;720;0;190;0;készpénz
4653;12/19/2016 4:15:00 PM;600;0;75;20;bankkártya
8661;12/14/2016 6:30:00 PM;60;0;325;0;készpénz
710;12/1/2016 9:45:00 PM;360;0;625;0;készpénz
8016;12/23/2016 5:15:00 PM;240;0;475;0;készpénz
3014;12/17/2016 4:45:00 PM;420;0;575;40;bankkártya
1901;12/5/2016 9:00:00 AM;240;0;475;0;készpénz
3238;12/16/2016 6:00:00 PM;1140;0;975;0;készpénz
3862;12/13/2016 7:00:00 PM;420;0;625;0;készpénz
8022;12/22/2016 5:45:00 PM;780;0;95;0;készpénz
6086;12/23/2016 1:30:00 PM;1080;0;115;375;bankkártya
1385;12/17/2016 3:30:00 PM;1980;0;210;0;készpénz
1030;12/5/2016 9:30:00 AM;180;0;475;20;bankkártya
6830;12/16/2016 7:00:00 PM;60;0;325;0;készpénz
2421;12/11/2016 12:15:00 AM;60;0;375;0;készpénz
2877;12/13/2016 12:00:00 PM;600;0;80;0;készpénz
6317;12/13/2016 10:45:00 AM;300;0;50;0;készpénz
1110;12/27/2016 6:00:00 PM;360;0;55;0;készpénz
6923;12/23/2016 11:30:00 AM;420;0;75;20;bankkártya
1736;12/19/2016 8:30:00 PM;180;0;45;20;bankkártya
6552;12/8/2016 1:00:00 PM;1980;0;4575;915;bankkártya
7596;12/6/2016 7:30:00 PM;2520;0;5025;1245;bankkártya
973;12/10/2016 11:00:00 PM;60;0;35;0;készpénz
4092;12/22/2016 11:30:00 PM;240;0;525;20;bankkártya
3209;12/18/2016 5:30:00 AM;660;0;100;0;készpénz
7011;12/3/2016 4:30:00 PM;1260;0;1375;0;készpénz
6513;12/31/2016 1:00:00 AM;240;0;525;40;bankkártya
2863;12/2/2016 7:45:00 AM;360;0;675;10;bankkártya
3089;12/19/2016 2:30:00 AM;240;0;625;20;bankkártya
3514;12/26/2016 7:45:00 PM;420;0;725;0;készpénz
8117;12/17/2016 10:30:00 PM;600;0;70;0;készpénz
7210;12/16/2016 8:00:00 AM;360;0;575;0;készpénz
8016;12/14/2016 6:30:00 PM;1140;0;1375;295;bankkártya
3514;12/10/2016 8:45:00 PM;240;0;475;0;készpénz
4111;12/7/2016 6:00:00 PM;1140;0;110;33;bankkártya
5357;12/22/2016 1:30:00 AM;660;0;105;10;bankkártya
3017;12/21/2016 2:45:00 PM;120;0;45;20;bankkártya
505;12/26/2016 10:15:00 PM;600;0;925;20;bankkártya
3588;12/8/2016 1:30:00 PM;300;0;575;20;bankkártya
772;12/6/2016 7:45:00 PM;21;0;325;0;bankkártya
1827;12/3/2016 3:45:00 PM;360;0;625;0;készpénz
451;12/21/2016 9:00:00 PM;420;0;675;20;bankkártya
7066;12/9/2016 11:30:00 PM;900;0;1425;0;készpénz
5426;12/8/2016 4:00:00 PM;2640;0;4275;935;bankkártya
3356;12/16/2016 10:00:00 PM;660;0;1425;0;készpénz
414;12/30/2016 9:15:00 PM;120;0;425;20;bankkártya
4285;12/8/2016 2:45:00 PM;480;0;65;10;bankkártya
8044;12/7/2016 6:00:00 PM;60;0;5525;0;készpénz
569;12/2/2016 5:00:00 PM;180;0;45;20;bankkártya
6744;12/21/2016 6:00:00 PM;1080;0;975;0;készpénz
3360;12/4/2016 1:00:00 AM;240;0;475;0;készpénz
4680;12/18/2016 7:15:00 PM;480;0;675;0;készpénz
1633;12/18/2016 11:00:00 AM;660;0;95;0;készpénz
8117;12/3/2016 2:45:00 PM;420;0;65;10;bankkártya
7415;12/10/2016 6:45:00 PM;780;0;100;0;készpénz
3799;12/31/2016 2:15:00 PM;240;0;55;0;készpénz
7257;12/19/2016 3:15:00 PM;840;0;925;0;készpénz
3773;12/2/2016 4:00:00 PM;420;0;60;0;készpénz
3163;12/3/2016 12:45:00 AM;420;0;1025;0;készpénz
6078;12/2/2016 5:00:00 PM;540;0;70;20;bankkártya
7355;12/13/2016 9:45:00 PM;300;0;575;0;készpénz
6197;12/2/2016 1:30:00 PM;60;0;325;0;készpénz
3040;12/14/2016 9:15:00 AM;900;0;130;20;bankkártya
1026;12/2/2016 3:45:00 PM;300;0;55;0;készpénz
4872;12/15/2016 12:30:00 PM;540;0;75;0;készpénz
788;12/20/2016 8:45:00 AM;600;0;775;438;bankkártya
5729;12/22/2016 2:15:00 PM;240;0;475;0;készpénz
5796;12/6/2016 6:45:00 PM;720;0;85;20;bankkártya
7939;12/2/2016 4:15:00 AM;300;0;575;0;készpénz
3649;12/9/2016 2:30:00 PM;1020;0;1025;20;bankkártya
2175;12/13/2016 7:15:00 PM;840;0;875;0;készpénz
7992;12/17/2016 10:15:00 PM;3120;0;435;120;bankkártya
684;12/31/2016 12:30:00 PM;240;0;50;10;bankkártya
8648;12/23/2016 4:15:00 PM;300;0;55;0;készpénz
4109;12/30/2016 2:15:00 PM;540;0;85;20;bankkártya
686;12/12/2016 11:30:00 PM;360;0;625;0;készpénz
3865;12/17/2016 4:45:00 PM;360;0;65;20;bankkártya
3433;12/9/2016 6:00:00 PM;60;0;325;0;készpénz
393;12/14/2016 3:15:00 PM;600;0;725;0;készpénz
2653;12/8/2016 3:00:00 PM;20;0;325;0;készpénz
3899;12/23/2016 10:00:00 AM;1560;0;365;0;készpénz
4675;12/8/2016 6:30:00 PM;180;0;40;0;készpénz
4325;12/27/2016 11:45:00 PM;420;0;70;20;bankkártya
4877;12/30/2016 12:45:00 PM;300;0;575;20;bankkártya
4576;12/7/2016 12:45:00 AM;240;0;575;30;bankkártya
3684;12/21/2016 7:15:00 PM;480;0;70;0;készpénz
2240;12/28/2016 2:45:00 PM;300;0;575;0;készpénz
8636;12/22/2016 5:30:00 PM;480;0;65;0;készpénz
1030;12/19/2016 9:15:00 AM;480;0;675;10;bankkártya
6094;12/17/2016 11:15:00 PM;480;0;625;0;készpénz
4438;12/9/2016 11:00:00 AM;540;0;775;0;készpénz
6458;12/9/2016 11:45:00 AM;540;0;725;0;készpénz
6775;12/26/2016 1:15:00 AM;420;0;80;0;készpénz
547;12/31/2016 4:00:00 PM;300;0;325;0;készpénz
1460;12/24/2016 6:45:00 PM;300;0;525;10;bankkártya
1691;12/24/2016 9:15:00 PM;660;0;105;0;készpénz
505;12/13/2016 11:30:00 AM;420;0;675;0;készpénz
6317;12/16/2016 5:00:00 PM;840;0;875;0;készpénz
3043;12/30/2016 5:45:00 PM;600;0;875;20;bankkártya
3891;12/15/2016 6:45:00 PM;240;0;525;0;készpénz
6065;12/1/2016 2:30:00 AM;60;0;80;0;bankkártya
2118;12/1/2016 8:45:00 PM;780;0;1175;0;bankkártya
2457;12/22/2016 8:00:00 PM;960;0;110;0;készpénz
5367;12/13/2016 3:45:00 PM;1080;0;1475;0;készpénz
4680;12/9/2016 6:15:00 PM;480;0;625;0;készpénz
8014;12/20/2016 9:30:00 PM;180;0;50;0;készpénz
710;12/9/2016 9:45:00 PM;540;0;1025;0;készpénz
2448;12/16/2016 12:15:00 PM;540;0;825;20;bankkártya
2041;12/14/2016 12:45:00 PM;420;0;65;10;bankkártya
3612;12/10/2016 12:45:00 PM;420;0;65;0;készpénz
1924;12/20/2016 7:30:00 PM;540;0;75;0;készpénz
5796;12/15/2016 9:00:00 PM;300;0;575;20;bankkártya
1460;12/21/2016 1:45:00 PM;900;0;925;0;készpénz
4675;12/30/2016 7:00:00 PM;360;0;625;30;bankkártya
2918;12/14/2016 8:15:00 PM;540;0;70;14;bankkártya
8636;12/28/2016 5:00:00 PM;420;0;70;0;készpénz
4927;12/7/2016 3:30:00 PM;960;0;1025;305;bankkártya
6016;12/20/2016 8:15:00 AM;660;0;201;0;ismeretlen
7517;12/9/2016 6:45:00 PM;840;0;925;0;készpénz
1463;12/10/2016 6:15:00 PM;300;0;525;0;készpénz
1523;12/4/2016 2:00:00 AM;300;0;35;0;készpénz
6535;12/1/2016 9:30:00 PM;840;0;80;0;készpénz
1164;12/31/2016 7:30:00 PM;240;0;525;0;készpénz
197;12/6/2016 10:30:00 AM;840;0;90;0;készpénz
1322;12/10/2016 1:45:00 AM;540;0;775;0;készpénz
1928;12/7/2016 6:45:00 PM;120;0;375;0;készpénz
812;12/30/2016 11:15:00 PM;540;0;75;20;bankkártya
8563;12/30/2016 12:45:00 PM;780;0;90;0;készpénz
