taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
6065;12/1/2016 2:30:00 AM;60;0;8;0;bankkártya
5243;12/1/2016 9:15:00 AM;480;0;6.75;0;készpénz
5114;12/1/2016 9:30:00 AM;420;0;6;2;bankkártya
2118;12/1/2016 8:45:00 PM;780;0;11.75;0;bankkártya
4531;12/1/2016 9:15:00 PM;540;0;7.25;0;készpénz
6535;12/1/2016 9:30:00 PM;840;0;8;0;készpénz
710;12/1/2016 9:45:00 PM;360;0;6.25;0;készpénz
2643;12/1/2016 11:45:00 PM;180;0;4.25;0;készpénz
7939;12/2/2016 4:15:00 AM;300;0;5.75;0;készpénz
2863;12/2/2016 7:45:00 AM;360;0;6.75;1;bankkártya
5400;12/2/2016 9:30:00 AM;780;0;9.25;0;készpénz
6197;12/2/2016 1:30:00 PM;60;0;3.25;0;készpénz
4044;12/2/2016 1:45:00 PM;960;0;11;0;készpénz
1026;12/2/2016 3:45:00 PM;300;0;5.5;0;készpénz
3773;12/2/2016 4:00:00 PM;420;0;6;0;készpénz
569;12/2/2016 5:00:00 PM;180;0;4.5;2;bankkártya
6078;12/2/2016 5:00:00 PM;540;0;7;2;bankkártya
3449;12/2/2016 5:15:00 PM;60;0;3.25;0;készpénz
4611;12/2/2016 7:00:00 PM;600;0;7.5;0;készpénz
6562;12/2/2016 8:00:00 PM;240;0;5.25;0;készpénz
1901;12/2/2016 9:45:00 PM;60;0;3.25;0;készpénz
1322;12/2/2016 11:15:00 PM;600;0;8;2;bankkártya
5628;12/3/2016 12:30:00 AM;420;0;6.75;0;készpénz
3163;12/3/2016 12:45:00 AM;420;0;10.25;0;készpénz
5857;12/3/2016 2:00:00 AM;540;0;8;0;készpénz
8709;12/3/2016 8:30:00 AM;180;0;5.25;0;készpénz
8117;12/3/2016 2:45:00 PM;420;0;6.5;1;bankkártya
1827;12/3/2016 3:45:00 PM;360;0;6.25;0;készpénz
7011;12/3/2016 4:30:00 PM;1260;0;13.75;0;készpénz
6898;12/3/2016 7:00:00 PM;1980;0;16.5;0;készpénz
4770;12/3/2016 7:15:00 PM;900;0;14.25;0;készpénz
3793;12/3/2016 8:00:00 PM;1200;0;13.75;0;készpénz
2697;12/3/2016 9:45:00 PM;180;0;4;0;készpénz
3360;12/4/2016 1:00:00 AM;240;0;4.75;0;készpénz
5659;12/4/2016 2:00:00 AM;120;0;4.75;0;készpénz
1523;12/4/2016 2:00:00 AM;300;0;3.5;0;készpénz
686;12/4/2016 2:30:00 PM;120;0;4;1;bankkártya
1098;12/4/2016 3:45:00 PM;600;0;9.5;0;készpénz
3637;12/4/2016 7:15:00 PM;300;0;5.5;0;készpénz
1319;12/4/2016 7:30:00 PM;600;0;8;0;készpénz
7748;12/4/2016 8:15:00 PM;180;0;5.5;1;bankkártya
5901;12/5/2016 6:45:00 AM;660;0;13.75;3.4;bankkártya
1901;12/5/2016 9:00:00 AM;240;0;4.75;0;készpénz
1030;12/5/2016 9:30:00 AM;180;0;4.75;2;bankkártya
3721;12/5/2016 2:45:00 PM;240;0;4.75;0;készpénz
8289;12/5/2016 9:00:00 PM;780;0;12.25;0;ingyenes
2330;12/6/2016 9:00:00 AM;360;0;5.5;0;készpénz
197;12/6/2016 10:30:00 AM;840;0;9;0;készpénz
4702;12/6/2016 3:00:00 PM;360;0;6.25;1;bankkártya
3267;12/6/2016 5:45:00 PM;420;0;6.25;2;bankkártya
5796;12/6/2016 6:45:00 PM;720;0;8.5;2;bankkártya
7596;12/6/2016 7:30:00 PM;2520;0;50.25;12.45;bankkártya
772;12/6/2016 7:45:00 PM;21;0;3.25;0;bankkártya
2901;12/6/2016 8:45:00 PM;1200;0;27.5;8.25;bankkártya
4576;12/7/2016 12:45:00 AM;240;0;5.75;3;bankkártya
3465;12/7/2016 9:45:00 AM;1020;0;11;2.2;bankkártya
5475;12/7/2016 10:45:00 AM;240;0;5.25;0;készpénz
4849;12/7/2016 12:00:00 PM;60;0;3.25;0;készpénz
4927;12/7/2016 3:30:00 PM;960;0;10.25;3.05;bankkártya
4702;12/7/2016 5:00:00 PM;540;0;7.25;0;készpénz
2643;12/7/2016 5:30:00 PM;3540;0;42.75;6;bankkártya
4111;12/7/2016 6:00:00 PM;1140;0;11;3.3;bankkártya
8044;12/7/2016 6:00:00 PM;60;0;55.25;0;készpénz
1928;12/7/2016 6:45:00 PM;120;0;3.75;0;készpénz
3453;12/7/2016 7:45:00 PM;60;0;3.25;0;készpénz
3684;12/7/2016 10:45:00 PM;180;0;5;0;készpénz
29;12/8/2016 12:15:00 AM;300;0;6;0;készpénz
6353;12/8/2016 8:15:00 AM;720;0;9;0;készpénz
4111;12/8/2016 11:15:00 AM;480;0;6.5;2;bankkártya
8709;12/8/2016 12:00:00 PM;420;0;6;2;bankkártya
4954;12/8/2016 12:45:00 PM;360;0;6;0;készpénz
6552;12/8/2016 1:00:00 PM;1980;0;45.75;9.15;bankkártya
1750;12/8/2016 1:15:00 PM;60;0;3.25;0;készpénz
3588;12/8/2016 1:30:00 PM;300;0;5.75;2;bankkártya
7430;12/8/2016 2:30:00 PM;7320;0;3.25;0;készpénz
4285;12/8/2016 2:45:00 PM;480;0;6.5;1;bankkártya
2653;12/8/2016 3:00:00 PM;20;0;3.25;0;készpénz
5426;12/8/2016 4:00:00 PM;2640;0;42.75;9.35;bankkártya
4675;12/8/2016 6:30:00 PM;180;0;4;0;készpénz
5029;12/8/2016 7:00:00 PM;660;0;7;0;készpénz
2607;12/8/2016 9:15:00 PM;660;0;8;0;készpénz
5054;12/8/2016 11:30:00 PM;480;0;7.5;0;készpénz
2612;12/9/2016 8:30:00 AM;360;0;5.75;0;készpénz
3514;12/9/2016 9:15:00 AM;600;0;10.75;0;készpénz
4438;12/9/2016 11:00:00 AM;540;0;7.75;0;készpénz
6458;12/9/2016 11:45:00 AM;540;0;7.25;0;készpénz
760;12/9/2016 2:30:00 PM;720;0;19;0;készpénz
3649;12/9/2016 2:30:00 PM;1020;0;10.25;2;bankkártya
1901;12/9/2016 3:15:00 PM;840;0;9.5;0;készpénz
7063;12/9/2016 4:00:00 PM;420;0;6.5;0;készpénz
50;12/9/2016 4:15:00 PM;300;0;5.5;3;bankkártya
